Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,7174.377,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,7272.5066,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,-558.5872,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,46.5931,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,590.7741,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6504,Fabrication d'engrais,2017,2017,3050,FAO TIER 1,kilotonnes,3067.3352,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,244,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6999,On-farm Heat Use,2017,2017,3050,FAO TIER 1,kilotonnes,233,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,4166.377,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6507,Transformation des aliments,2017,2017,3050,FAO TIER 1,kilotonnes,6741.4744,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,985.4198,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,2842.9929,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,4026.0702,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,2362.7082,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,165000,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,12100,E,Valeur estimée,
GT,Totaux des émissions,528,Pays-Bas (Royaume des),7273,Émissions (CO2),6818,Déchets,2017,2017,3050,FAO TIER 1,kilotonnes,13.9,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,154.6574,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,36.8652,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6504,Fabrication d'engrais,2017,2017,3050,FAO TIER 1,kilotonnes,35.3094,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,96.2686,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,65.7625,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,1427.6408,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,336.05,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,7930,E,Valeur estimée,
GT,Totaux des émissions,4,Afghanistan,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,271,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,515.0563,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,6113.213,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,-500.136,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,6661.3213,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,953,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,5356.2997,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6507,Transformation des aliments,2017,2017,3050,FAO TIER 1,kilotonnes,1081.7589,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,3123.7759,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,5851.6287,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,8963.3016,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,5074.1555,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,504000,E,Valeur estimée,
GT,Totaux des émissions,710,Afrique du Sud,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,18000,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,108.8931,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,295.5333,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,-352.0139,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,31.8984,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,6,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,0.5696,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6507,Transformation des aliments,2017,2017,3050,FAO TIER 1,kilotonnes,61.7373,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,30.9495,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,34.45,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,153.9105,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,293.4213,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,4660,E,Valeur estimée,
GT,Totaux des émissions,8,Albanie,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,1150,E,Valeur estimée,
